;REAL_50;REAL_50/SERV_50;VALOR_50;VALOR_50/SERV_50;REAL_51;REAL_51/SERV_51;VALOR_51;VALOR_51/SERV_51;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_45;REAL_45/SERV_45;VALOR_45;VALOR_45/SERV_45;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_28;REAL_28/SERV_28;VALOR_28;VALOR_28/SERV_28;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_46;REAL_46/SERV_46;VALOR_46;VALOR_46/SERV_46;REAL_33;REAL_33/SERV_33;VALOR_33;VALOR_33/SERV_33;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_34;REAL_34/SERV_34;VALOR_34;VALOR_34/SERV_34;REAL_35;REAL_35/SERV_35;VALOR_35;VALOR_35/SERV_35;REAL_37;REAL_37/SERV_37;VALOR_37;VALOR_37/SERV_37;REAL_47;REAL_47/SERV_47;VALOR_47;VALOR_47/SERV_47;REAL_39;REAL_39/SERV_39;VALOR_39;VALOR_39/SERV_39;REAL_40;REAL_40/SERV_40;VALOR_40;VALOR_40/SERV_40;REAL_42;REAL_42/SERV_42;VALOR_42;VALOR_42/SERV_42;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_44;REAL_44/SERV_44;VALOR_44;VALOR_44/SERV_44;REAL_49;REAL_49/SERV_49;VALOR_49;VALOR_49/SERV_49;REAL_52;REAL_52/SERV_52;VALOR_52;VALOR_52/SERV_52
01/01/2017;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;105,00;0,04;105,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;162,40;0,02;162,40;0,02;79,80;0,04;79,80;0,04;0,00;0,00;0,00;0,00;249,00;0,19;249,00;0,19;249,00;0,05;249,00;0,05;0,00;0,00;30,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;89,00;0,05;89,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
02/01/2017;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;257,80;0,03;257,80;0,03;263,90;0,14;263,90;0,14;0,00;0,00;0,00;0,00;134,00;0,10;134,00;0,10;59,00;0,01;59,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69,00;0,05;69,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
03/01/2017;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-160,00;-0,04;29,90;0,01;29,90;0,01;89,00;0,06;89,00;0,06;0,00;0,00;0,00;0,00;834,00;0,08;934,00;0,09;89,00;0,05;114,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1442,00;0,27;1442,00;0,27;0,00;0,00;80,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;80,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
04/01/2017;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;59,80;0,02;59,80;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;148,00;0,01;148,00;0,01;89,00;0,05;89,00;0,05;0,00;0,00;0,00;0,00;91,50;0,07;91,50;0,07;222,90;0,03;222,90;0,03;0,00;0,00;0,00;0,00;598,00;0,19;598,00;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
05/01/2017;;;;;;;;;89,00;0,07;89,00;0,07;0,00;0,00;0,00;0,00;110,00;0,02;110,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;387,90;0,04;387,90;0,04;89,00;0,05;89,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;608,50;0,09;726,50;0,11;0,00;0,00;0,00;0,00;598,00;0,19;598,00;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;299,00;0,16;299,00;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
06/01/2017;;;;;;;;;91,50;0,07;91,50;0,07;165,00;0,04;165,00;0,04;79,00;0,02;79,00;0,02;225,50;0,14;225,50;0,14;0,00;0,00;0,00;0,00;884,50;0,09;884,50;0,09;89,00;0,05;89,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;225,00;0,03;225,00;0,03;85,00;0,04;85,00;0,04;178,00;0,06;178,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
07/01/2017;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;338,00;0,08;338,00;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;854,00;0,09;854,00;0,09;275,00;0,14;275,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;148,00;0,02;148,00;0,02;0,00;0,00;0,00;0,00;178,00;0,06;178,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;59,00;0,05;59,00;0,05;0,00;0,00;0,00;0,00;29,90;0,01;29,90;0,01;0,00;0,00;0,00;0,00;;;;
08/01/2017;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1744,40;0,39;1744,40;0,39;557,00;0,34;557,00;0,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;557,00;0,09;557,00;0,09;0,00;0,00;0,00;0,00;69,80;0,02;69,80;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,00;0,09;79,00;0,09;;;;
09/01/2017;;;;;1324,90;0,44;1324,90;0,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;274,00;0,06;274,00;0,06;0,00;0,00;0,00;0,00;598,00;0,80;598,00;0,80;225,00;0,02;225,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39,90;0,03;39,90;0,03;99,00;0,02;99,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;
10/01/2017;;;;;730,70;0,24;730,70;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,00;0,02;79,00;0,02;275,00;0,17;275,00;0,17;0,00;0,00;0,00;0,00;104,70;0,01;104,70;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;299,00;0,05;299,00;0,05;99,00;0,05;99,00;0,05;225,00;0,07;225,00;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;275,00;0,11;275,00;0,11;498,00;0,59;498,00;0,59;2888,00;0,54;2888,00;0,54
