;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_14;REAL_14/SERV_14;VALOR_14;VALOR_14/SERV_14;REAL_45;REAL_45/SERV_45;VALOR_45;VALOR_45/SERV_45;REAL_38;REAL_38/SERV_38;VALOR_38;VALOR_38/SERV_38;REAL_28;REAL_28/SERV_28;VALOR_28;VALOR_28/SERV_28;REAL_29;REAL_29/SERV_29;VALOR_29;VALOR_29/SERV_29;REAL_30;REAL_30/SERV_30;VALOR_30;VALOR_30/SERV_30;REAL_31;REAL_31/SERV_31;VALOR_31;VALOR_31/SERV_31;REAL_46;REAL_46/SERV_46;VALOR_46;VALOR_46/SERV_46;REAL_33;REAL_33/SERV_33;VALOR_33;VALOR_33/SERV_33;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_34;REAL_34/SERV_34;VALOR_34;VALOR_34/SERV_34;REAL_35;REAL_35/SERV_35;VALOR_35;VALOR_35/SERV_35;REAL_37;REAL_37/SERV_37;VALOR_37;VALOR_37/SERV_37;REAL_47;REAL_47/SERV_47;VALOR_47;VALOR_47/SERV_47;REAL_39;REAL_39/SERV_39;VALOR_39;VALOR_39/SERV_39;REAL_48;REAL_48/SERV_48;VALOR_48;VALOR_48/SERV_48;REAL_40;REAL_40/SERV_40;VALOR_40;VALOR_40/SERV_40;REAL_42;REAL_42/SERV_42;VALOR_42;VALOR_42/SERV_42;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_44;REAL_44/SERV_44;VALOR_44;VALOR_44/SERV_44
01/01/2014;54,90;0,05;54,90;0,05;113,10;0,08;113,10;0,08;0,00;0,00;0,00;0,00;;;;;;;;;129,90;0,18;129,90;0,18;0,00;0,00;0,00;0,00;165,00;0,06;165,00;0,06;115,50;0,12;115,50;0,12;;;;;63,70;0,09;63,70;0,09;291,60;0,16;291,60;0,16;46,80;0,05;46,80;0,05;0,00;0,00;0,00;0,00;49,90;0,05;49,90;0,05;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;193,70;0,04;193,70;0,04;0,00;0,00;0,00;0,00
02/01/2014;99,00;0,09;99,00;0,09;59,80;0,04;59,80;0,04;45,00;0,06;45,00;0,06;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;99,00;0,10;99,00;0,10;;;;;0,00;0,00;0,00;0,00;110,00;0,06;110,00;0,06;11,00;0,01;11,00;0,01;0,00;0,00;0,00;0,00;110,00;0,12;110,00;0,12;;;;;0,00;0,00;0,00;0,00;;;;;24,90;0,06;24,90;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
03/01/2014;32,50;0,03;32,50;0,03;289,70;0,20;289,70;0,20;0,00;0,00;0,00;0,00;;;;;;;;;99,00;0,13;99,00;0,13;79,70;0,24;79,70;0,24;0,00;0,00;0,00;0,00;39,90;0,04;39,90;0,04;;;;;35,00;0,05;35,00;0,05;119,70;0,06;119,70;0,06;99,70;0,11;99,70;0,11;29,90;0,02;29,90;0,02;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;199,50;0,04;199,50;0,04;24,90;0,02;24,90;0,02
04/01/2014;0,00;0,00;0,00;0,00;125,00;0,09;125,00;0,09;0,00;0,00;0,00;0,00;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;133,30;0,04;133,30;0,04;169,90;0,17;169,90;0,17;;;;;106,70;0,16;106,70;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
05/01/2014;0,00;0,00;0,00;0,00;96,20;0,07;96,20;0,07;0,00;0,00;0,00;0,00;;;;;;;;;99,00;0,12;99,00;0,12;0,00;0,00;0,00;0,00;35,00;0,01;35,00;0,01;110,00;0,11;110,00;0,11;;;;;0,00;0,00;0,00;0,00;99,50;0,02;99,50;0,02;39,90;0,04;39,90;0,04;0,00;0,00;0,00;0,00;29,90;0,03;29,90;0,03;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;52,50;0,07;52,50;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
06/01/2014;135,00;0,13;135,00;0,13;55,00;0,04;55,00;0,04;149,00;0,19;149,00;0,19;;;;;;;;;17,50;0,02;17,50;0,02;0,00;0,00;0,00;0,00;199,30;0,07;199,30;0,07;17,50;0,02;17,50;0,02;;;;;174,60;0,24;174,60;0,24;115,90;0,03;115,90;0,03;270,00;0,30;270,00;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
07/01/2014;219,80;0,21;219,80;0,21;0,00;0,00;0,00;0,00;32,50;0,04;32,50;0,04;;;;;;;;;0,00;0,00;0,00;0,00;149,00;0,42;149,00;0,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;82,50;0,02;82,50;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
08/01/2014;69,80;0,07;69,80;0,07;85,00;0,06;85,00;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;288,40;0,10;288,40;0,10;69,80;0,07;69,80;0,07;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;239,80;0,26;239,80;0,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
09/01/2014;19,90;0,02;19,90;0,02;69,80;0,05;69,80;0,05;19,90;0,03;19,90;0,03;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;77,40;0,03;77,40;0,03;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;184,60;0,04;184,60;0,04;34,90;0,04;34,90;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;42,50;0,06;42,50;0,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10/01/2014;0,00;0,00;0,00;0,00;452,00;0,31;452,00;0,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;129,80;0,04;129,80;0,04;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;317,90;0,08;317,90;0,08;0,00;0,00;0,00;0,00;125,00;0,07;125,00;0,07;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
