;REAL_1;REAL_1/SERV_1;VALOR_1;VALOR_1/SERV_1;REAL_2;REAL_2/SERV_2;VALOR_2;VALOR_2/SERV_2;REAL_3;REAL_3/SERV_3;VALOR_3;VALOR_3/SERV_3;REAL_4;REAL_4/SERV_4;VALOR_4;VALOR_4/SERV_4;REAL_6;REAL_6/SERV_6;VALOR_6;VALOR_6/SERV_6;REAL_7;REAL_7/SERV_7;VALOR_7;VALOR_7/SERV_7;REAL_8;REAL_8/SERV_8;VALOR_8;VALOR_8/SERV_8;REAL_9;REAL_9/SERV_9;VALOR_9;VALOR_9/SERV_9;REAL_10;REAL_10/SERV_10;VALOR_10;VALOR_10/SERV_10;REAL_11;REAL_11/SERV_11;VALOR_11;VALOR_11/SERV_11;REAL_12;REAL_12/SERV_12;VALOR_12;VALOR_12/SERV_12
01/01/2004;0,00;0,00;0,00;0,00;5,90;0,10;5,90;0,10;49,75;0,17;49,75;0,17;0,00;0,00;0,00;0,00;8,25;0,08;8,25;0,08;23,60;0,08;23,60;0,08;27,80;0,07;31,80;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;0,06;32,00;0,06;44,00;0,17;56,00;0,22
02/01/2004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,95;0,07;18,95;0,07
03/01/2004;0,00;0,00;13,00;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;0,28;42,00;0,41;5,00;0,02;15,00;0,05;0,00;0,00;4,00;0,01;2,90;0,02;2,90;0,02;13,75;0,05;13,75;0,05;0,00;0,00;0,00;0,00;15,60;0,06;15,60;0,06
04/01/2004;0,00;0,00;10,00;0,03;0,00;0,00;10,00;0,16;41,40;0,12;41,40;0,12;0,00;0,00;0,00;0,00;3,90;0,04;3,90;0,04;23,45;0,08;25,45;0,08;4,90;0,01;14,40;0,04;25,00;0,16;25,00;0,16;0,00;0,00;0,00;0,00;56,00;0,10;56,00;0,10;86,80;0,33;86,80;0,33
05/01/2004;18,00;0,05;18,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,17;18,00;0,17;21,00;0,07;21,00;0,07;0,00;0,00;0,00;0,00;16,00;0,10;16,00;0,10;0,00;0,00;0,00;0,00;74,00;0,10;74,00;0,10;0,00;0,00;0,00;0,00
06/01/2004;2,90;0,01;2,90;0,01;0,00;0,00;0,00;0,00;18,00;0,05;18,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,05;14,00;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,80;0,04;9,80;0,04
07/01/2004;18,00;0,05;18,00;0,05;0,00;0,00;0,00;0,00;29,70;0,08;29,70;0,08;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,07;18,00;0,07
08/01/2004;0,00;0,00;0,00;0,00;10,00;0,16;10,00;0,16;44,20;0,12;44,20;0,12;0,00;0,00;0,00;0,00;16,00;0,15;16,00;0,15;46,20;0,15;46,20;0,15;1,10;0,00;1,10;0,00;21,00;0,14;21,00;0,14;0,00;0,00;0,00;0,00;46,00;0,06;46,00;0,06;84,10;0,32;84,10;0,32
09/01/2004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;44,00;0,15;44,00;0,15;15,00;0,04;15,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;76,00;0,10;76,00;0,10;0,00;0,00;0,00;0,00
10/01/2004;0,00;0,00;50,00;0,13;5,90;0,10;5,90;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,70;0,17;47,70;0,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
11/01/2004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,50;0,07;7,50;0,07;53,70;0,18;53,70;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;56,00;0,15;56,00;0,15;119,00;0,15;119,00;0,15;6,25;0,02;6,25;0,02
12/01/2004;92,00;0,25;92,00;0,25;0,00;0,00;0,00;0,00;27,90;0,08;27,90;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;60,50;0,20;60,50;0,20;8,00;0,02;8,00;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;103,00;0,13;118,00;0,15;21,00;0,08;21,00;0,08
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
