Date,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_10,REAL_10/SERV_10,VALOR_10,VALOR_10/SERV_10,REAL_12,REAL_12/SERV_12,VALOR_12,VALOR_12/SERV_12,REAL_13,REAL_13/SERV_13,VALOR_13,VALOR_13/SERV_13,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_15,REAL_15/SERV_15,VALOR_15,VALOR_15/SERV_15,REAL_16,REAL_16/SERV_16,VALOR_16,VALOR_16/SERV_16,REAL_20,REAL_20/SERV_20,VALOR_20,VALOR_20/SERV_20,REAL_21,REAL_21/SERV_21,VALOR_21,VALOR_21/SERV_21,REAL_22,REAL_22/SERV_22,VALOR_22,VALOR_22/SERV_22,REAL_23,REAL_23/SERV_23,VALOR_23,VALOR_23/SERV_23,REAL_24,REAL_24/SERV_24,VALOR_24,VALOR_24/SERV_24,REAL_25,REAL_25/SERV_25,VALOR_25,VALOR_25/SERV_25,REAL_26,REAL_26/SERV_26,VALOR_26,VALOR_26/SERV_26,REAL_27,REAL_27/SERV_27,VALOR_27,VALOR_27/SERV_27,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31
01/01/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.1,0.33,187.1,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.06,23.5,0.06,28.5,0.05,28.5,0.05,9.9,0.03,9.9,0.03,0.0,0.0,0.0,0.0,57.5,0.15,57.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,11,0.05,11,0.05,9.9,0.04,9.9,0.04,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2009,0.0,0.0,0.0,0.0,64.4,0.13,64.4,0.13,49.2,0.09,49.2,0.09,41.4,0.1,41.4,0.1,5.9,0.02,5.9,0.02,17.5,0.04,17.5,0.04,39.9,0.07,39.9,0.07,59.0,0.15,59.0,0.15,14.9,0.04,14.9,0.04,0.0,0.0,0.0,0.0,17.5,0.08,17.5,0.08,9.9,0.02,9.9,0.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2009,,,,,0.0,0.0,11.0,0.02,26.8,0.05,26.8,0.05,50.9,0.25,64.9,0.32,,,,,0.0,0.0,0.0,0.0,17.5,0.03,17.5,0.03,0.0,0.0,0.0,0.0,17.5,0.05,17.5,0.05,0.0,0.0,0.0,0.0,4.9,0.02,4.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2009,,,,,0.0,0.0,0.0,0.0,38.4,0.07,38.4,0.07,,,,,,,,,0.0,0.0,0.0,0.0,39.8,0.07,39.8,0.07,52.5,0.13,52.5,0.13,0.0,0.0,0.0,0.0,11.0,0.03,11.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
05/01/2009,,,,,127.4,0.27,127.4,0.27,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.03,0.0,0.0,0.0,0.0,4.5,0.02,4.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
06/01/2009,,,,,0.0,0.0,0.0,0.0,44.7,0.08,44.7,0.08,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.03,4.9,0.01,4.9,0.01,19.9,0.09,19.9,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
07/01/2009,,,,,0.0,0.0,0.0,0.0,4.5,0.01,13.5,0.02,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
08/01/2009,,,,,0.0,0.0,11.0,0.02,50.9,0.09,50.9,0.09,,,,,,,,,39.0,0.09,83.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
09/01/2009,,,,,0.0,0.0,0.0,0.0,141.3,0.25,141.3,0.25,,,,,,,,,39.0,0.09,39.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.02,22.0,0.05,22.0,0.05,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.44,39.9,0.44,,,,,,,,
10/01/2009,,,,,0.0,0.0,0.0,0.0,39.9,0.07,39.9,0.07,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.4,0.26,101.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.07,12.5,0.07,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
