Date,REAL_50,REAL_50/SERV_50,VALOR_50,VALOR_50/SERV_50,REAL_51,REAL_51/SERV_51,VALOR_51,VALOR_51/SERV_51,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_45,REAL_45/SERV_45,VALOR_45,VALOR_45/SERV_45,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_46,REAL_46/SERV_46,VALOR_46,VALOR_46/SERV_46,REAL_33,REAL_33/SERV_33,VALOR_33,VALOR_33/SERV_33,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_34,REAL_34/SERV_34,VALOR_34,VALOR_34/SERV_34,REAL_35,REAL_35/SERV_35,VALOR_35,VALOR_35/SERV_35,REAL_37,REAL_37/SERV_37,VALOR_37,VALOR_37/SERV_37,REAL_47,REAL_47/SERV_47,VALOR_47,VALOR_47/SERV_47,REAL_39,REAL_39/SERV_39,VALOR_39,VALOR_39/SERV_39,REAL_40,REAL_40/SERV_40,VALOR_40,VALOR_40/SERV_40,REAL_42,REAL_42/SERV_42,VALOR_42,VALOR_42/SERV_42,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_44,REAL_44/SERV_44,VALOR_44,VALOR_44/SERV_44,REAL_49,REAL_49/SERV_49,VALOR_49,VALOR_49/SERV_49,REAL_52,REAL_52/SERV_52,VALOR_52,VALOR_52/SERV_52
01/01/2017,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.04,105.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.4,0.02,162.4,0.02,79.8,0.04,79.8,0.04,0.0,0.0,0.0,0.0,249.0,0.19,249.0,0.19,249.0,0.05,249.0,0.05,0.0,0.0,30.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.05,89.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
02/01/2017,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.8,0.03,257.8,0.03,263.9,0.14,263.9,0.14,0.0,0.0,0.0,0.0,134.0,0.1,134.0,0.1,59.0,0.01,59.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.05,69.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
03/01/2017,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-0.04,29.9,0.01,29.9,0.01,89.0,0.06,89.0,0.06,0.0,0.0,0.0,0.0,834.0,0.08,934.0,0.09,89.0,0.05,114.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442.0,0.27,1442.0,0.27,0.0,0.0,80.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
04/01/2017,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,0.02,59.8,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.01,148.0,0.01,89.0,0.05,89.0,0.05,0.0,0.0,0.0,0.0,91.5,0.07,91.5,0.07,222.9,0.03,222.9,0.03,0.0,0.0,0.0,0.0,598.0,0.19,598.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
05/01/2017,,,,,,,,,89.0,0.07,89.0,0.07,0.0,0.0,0.0,0.0,110.0,0.02,110.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.9,0.04,387.9,0.04,89.0,0.05,89.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.5,0.09,726.5,0.11,0.0,0.0,0.0,0.0,598.0,0.19,598.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.16,299.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
06/01/2017,,,,,,,,,91.5,0.07,91.5,0.07,165.0,0.04,165.0,0.04,79.0,0.02,79.0,0.02,225.5,0.14,225.5,0.14,0.0,0.0,0.0,0.0,884.5,0.09,884.5,0.09,89.0,0.05,89.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.03,225.0,0.03,85.0,0.04,85.0,0.04,178.0,0.06,178.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
07/01/2017,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,0.08,338.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,0.09,854.0,0.09,275.0,0.14,275.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.02,148.0,0.02,0.0,0.0,0.0,0.0,178.0,0.06,178.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.05,59.0,0.05,0.0,0.0,0.0,0.0,29.9,0.01,29.9,0.01,0.0,0.0,0.0,0.0,,,,
08/01/2017,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744.4,0.39,1744.4,0.39,557.0,0.34,557.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,0.09,557.0,0.09,0.0,0.0,0.0,0.0,69.8,0.02,69.8,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.09,79.0,0.09,,,,
09/01/2017,,,,,1324.9,0.44,1324.9,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.06,274.0,0.06,0.0,0.0,0.0,0.0,598.0,0.8,598.0,0.8,225.0,0.02,225.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.03,39.9,0.03,99.0,0.02,99.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10/01/2017,,,,,730.7,0.24,730.7,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.02,79.0,0.02,275.0,0.17,275.0,0.17,0.0,0.0,0.0,0.0,104.7,0.01,104.7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.05,299.0,0.05,99.0,0.05,99.0,0.05,225.0,0.07,225.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.11,275.0,0.11,498.0,0.59,498.0,0.59,2888.0,0.54,2888.0,0.54
