Date,REAL_53,REAL_53/SERV_53,VALOR_53,VALOR_53/SERV_53,REAL_51,REAL_51/SERV_51,VALOR_51,VALOR_51/SERV_51,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_45,REAL_45/SERV_45,VALOR_45,VALOR_45/SERV_45,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_46,REAL_46/SERV_46,VALOR_46,VALOR_46/SERV_46,REAL_33,REAL_33/SERV_33,VALOR_33,VALOR_33/SERV_33,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_34,REAL_34/SERV_34,VALOR_34,VALOR_34/SERV_34,REAL_35,REAL_35/SERV_35,VALOR_35,VALOR_35/SERV_35,REAL_37,REAL_37/SERV_37,VALOR_37,VALOR_37/SERV_37,REAL_47,REAL_47/SERV_47,VALOR_47,VALOR_47/SERV_47,REAL_39,REAL_39/SERV_39,VALOR_39,VALOR_39/SERV_39,REAL_40,REAL_40/SERV_40,VALOR_40,VALOR_40/SERV_40,REAL_42,REAL_42/SERV_42,VALOR_42,VALOR_42/SERV_42,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_44,REAL_44/SERV_44,VALOR_44,VALOR_44/SERV_44,REAL_49,REAL_49/SERV_49,VALOR_49,VALOR_49/SERV_49,REAL_52,REAL_52/SERV_52,VALOR_52,VALOR_52/SERV_52
01/01/2018,,,,,138.9,0.05,138.9,0.05,0.0,0.0,0.0,0.0,237.0,0.04,237.0,0.04,615.0,0.14,615.0,0.14,299.0,0.17,299.0,0.17,0.0,0.0,0.0,0.0,694.5,0.06,694.5,0.06,99.0,0.05,99.0,0.05,0.0,0.0,0.0,0.0,197.0,0.12,197.0,0.12,530.0,0.08,530.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2018,,,,,203.0,0.07,203.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.04,157.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,0.03,377.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.07,118.0,0.07,299.0,0.05,1024.0,0.16,0.0,0.0,50.0,0.03,158.0,0.05,158.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2018,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.01,90.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.1,170.0,0.1,388.0,0.06,388.0,0.06,0.0,0.0,0.0,0.0,503.9,0.16,503.9,0.16,0.0,0.0,0.0,0.0,225.0,0.09,225.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.08,69.0,0.08,284.0,0.05,284.0,0.05
04/01/2018,,,,,0.0,0.0,0.0,0.0,919.0,0.62,919.0,0.62,0.0,0.0,0.0,0.0,267.0,0.06,267.0,0.06,198.0,0.1,198.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.07,125.0,0.07,0.0,0.0,0.0,0.0,144.0,0.07,144.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,0.31,703.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2018,,,,,154.0,0.05,154.0,0.05,99.0,0.07,99.0,0.07,0.0,0.0,0.0,0.0,697.0,0.12,697.0,0.12,285.0,0.15,285.0,0.15,0.0,0.0,0.0,0.0,1412.5,0.12,1412.5,0.12,0.0,0.0,50.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,0.09,555.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.1,149.0,0.1,0.0,0.0,0.0,0.0,164.9,0.07,164.9,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2018,,,,,540.0,0.18,540.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.9,0.08,445.9,0.08,299.0,0.15,299.0,0.15,0.0,0.0,0.0,0.0,349.0,0.03,349.0,0.03,199.0,0.09,199.0,0.09,0.0,0.0,0.0,0.0,45.0,0.02,45.0,0.02,1179.4,0.18,1179.4,0.18,,,,,110.0,0.03,110.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.7,0.17,149.7,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2018,,,,,639.9,0.21,639.9,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.2,0.1,568.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.05,130.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/01/2018,,,,,365.9,0.12,365.9,0.12,49.9,0.03,49.9,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.04,433.0,0.04,209.0,0.1,209.0,0.1,0.0,0.0,0.0,0.0,99.8,0.05,134.8,0.07,698.0,0.11,698.0,0.11,,,,,0.0,0.0,0.0,0.0,351.5,0.47,351.5,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.13,125.0,0.13,1196.0,0.22,1196.0,0.22
09/01/2018,,,,,240.0,0.06,240.0,0.06,0.0,0.0,0.0,0.0,411.0,0.07,411.0,0.07,330.0,0.06,330.0,0.06,302.0,0.15,302.0,0.15,0.0,0.0,0.0,0.0,505.0,0.04,505.0,0.04,0.0,0.0,300.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,0.11,698.0,0.11,,,,,524.0,0.14,524.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.11,99.8,0.11,228.7,0.15,228.7,0.15,0.0,0.0,0.0,0.0,368.5,0.15,368.5,0.15,0.0,0.0,0.0,0.0,398.0,0.07,398.0,0.07
10/01/2018,,,,,65.0,0.02,65.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.3,0.05,274.3,0.05,349.0,0.16,349.0,0.16,349.0,0.38,349.0,0.38,130.0,0.01,130.0,0.01,345.0,0.16,345.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.07,429.0,0.07,,,,,425.0,0.12,425.0,0.12,0.0,0.0,0.0,0.0,935.0,0.35,935.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,425.0,0.4,425.0,0.4,,,,
11/01/2018,0.0,0.0,0.0,0.0,115.0,0.03,115.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.8,0.04,297.8,0.05,199.0,0.09,199.0,0.09,0.0,0.0,0.0,0.0,1595.7,0.14,1595.7,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.03,59.0,0.03,0.0,0.0,0.0,0.0,,,,,375.0,0.1,375.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.03,65.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,
12/01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.04,236.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.05,1985.63,0.31,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.27,425.0,0.27,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,
