Date,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_45,REAL_45/SERV_45,VALOR_45,VALOR_45/SERV_45,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_46,REAL_46/SERV_46,VALOR_46,VALOR_46/SERV_46,REAL_33,REAL_33/SERV_33,VALOR_33,VALOR_33/SERV_33,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_34,REAL_34/SERV_34,VALOR_34,VALOR_34/SERV_34,REAL_35,REAL_35/SERV_35,VALOR_35,VALOR_35/SERV_35,REAL_37,REAL_37/SERV_37,VALOR_37,VALOR_37/SERV_37,REAL_47,REAL_47/SERV_47,VALOR_47,VALOR_47/SERV_47,REAL_39,REAL_39/SERV_39,VALOR_39,VALOR_39/SERV_39,REAL_48,REAL_48/SERV_48,VALOR_48,VALOR_48/SERV_48,REAL_40,REAL_40/SERV_40,VALOR_40,VALOR_40/SERV_40,REAL_42,REAL_42/SERV_42,VALOR_42,VALOR_42/SERV_42,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_44,REAL_44/SERV_44,VALOR_44,VALOR_44/SERV_44
01/01/2014,54.9,0.05,54.9,0.05,113.1,0.08,113.1,0.08,0.0,0.0,0.0,0.0,,,,,,,,,129.9,0.18,129.9,0.18,0.0,0.0,0.0,0.0,165.0,0.06,165.0,0.06,115.5,0.12,115.5,0.12,,,,,63.7,0.09,63.7,0.09,291.6,0.16,291.6,0.16,46.8,0.05,46.8,0.05,0.0,0.0,0.0,0.0,49.9,0.05,49.9,0.05,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.7,0.04,193.7,0.04,0.0,0.0,0.0,0.0
02/01/2014,99.0,0.09,99.0,0.09,59.8,0.04,59.8,0.04,45.0,0.06,45.0,0.06,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.1,99.0,0.1,,,,,0.0,0.0,0.0,0.0,110.0,0.06,110.0,0.06,11.0,0.01,11.0,0.01,0.0,0.0,0.0,0.0,110.0,0.12,110.0,0.12,,,,,0.0,0.0,0.0,0.0,,,,,24.9,0.06,24.9,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2014,32.5,0.03,32.5,0.03,289.7,0.2,289.7,0.2,0.0,0.0,0.0,0.0,,,,,,,,,99.0,0.13,99.0,0.13,79.7,0.24,79.7,0.24,0.0,0.0,0.0,0.0,39.9,0.04,39.9,0.04,,,,,35.0,0.05,35.0,0.05,119.7,0.06,119.7,0.06,99.7,0.11,99.7,0.11,29.9,0.02,29.9,0.02,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.5,0.04,199.5,0.04,24.9,0.02,24.9,0.02
04/01/2014,0.0,0.0,0.0,0.0,125.0,0.09,125.0,0.09,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.3,0.04,133.3,0.04,169.9,0.17,169.9,0.17,,,,,106.7,0.16,106.7,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/01/2014,0.0,0.0,0.0,0.0,96.2,0.07,96.2,0.07,0.0,0.0,0.0,0.0,,,,,,,,,99.0,0.12,99.0,0.12,0.0,0.0,0.0,0.0,35.0,0.01,35.0,0.01,110.0,0.11,110.0,0.11,,,,,0.0,0.0,0.0,0.0,99.5,0.02,99.5,0.02,39.9,0.04,39.9,0.04,0.0,0.0,0.0,0.0,29.9,0.03,29.9,0.03,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,52.5,0.07,52.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/01/2014,135.0,0.13,135.0,0.13,55.0,0.04,55.0,0.04,149.0,0.19,149.0,0.19,,,,,,,,,17.5,0.02,17.5,0.02,0.0,0.0,0.0,0.0,199.3,0.07,199.3,0.07,17.5,0.02,17.5,0.02,,,,,174.6,0.24,174.6,0.24,115.9,0.03,115.9,0.03,270.0,0.3,270.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/01/2014,219.8,0.21,219.8,0.21,0.0,0.0,0.0,0.0,32.5,0.04,32.5,0.04,,,,,,,,,0.0,0.0,0.0,0.0,149.0,0.42,149.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,82.5,0.02,82.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/01/2014,69.8,0.07,69.8,0.07,85.0,0.06,85.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.4,0.1,288.4,0.1,69.8,0.07,69.8,0.07,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.8,0.26,239.8,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/01/2014,19.9,0.02,19.9,0.02,69.8,0.05,69.8,0.05,19.9,0.03,19.9,0.03,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4,0.03,77.4,0.03,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,184.6,0.04,184.6,0.04,34.9,0.04,34.9,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,42.5,0.06,42.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/01/2014,0.0,0.0,0.0,0.0,452.0,0.31,452.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.8,0.04,129.8,0.04,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,317.9,0.08,317.9,0.08,0.0,0.0,0.0,0.0,125.0,0.07,125.0,0.07,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
