Date,REAL_3,REAL_3/SERV_3,VALOR_3,VALOR_3/SERV_3,REAL_7,REAL_7/SERV_7,VALOR_7,VALOR_7/SERV_7,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_26,REAL_26/SERV_26,VALOR_26,VALOR_26/SERV_26,REAL_27,REAL_27/SERV_27,VALOR_27,VALOR_27/SERV_27,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_32,REAL_32/SERV_32,VALOR_32,VALOR_32/SERV_32,REAL_33,REAL_33/SERV_33,VALOR_33,VALOR_33/SERV_33,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_34,REAL_34/SERV_34,VALOR_34,VALOR_34/SERV_34,REAL_35,REAL_35/SERV_35,VALOR_35,VALOR_35/SERV_35,REAL_37,REAL_37/SERV_37,VALOR_37,VALOR_37/SERV_37,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_39,REAL_39/SERV_39,VALOR_39,VALOR_39/SERV_39,REAL_41,REAL_41/SERV_41,VALOR_41,VALOR_41/SERV_41,REAL_40,REAL_40/SERV_40,VALOR_40,VALOR_40/SERV_40,REAL_42,REAL_42/SERV_42,VALOR_42,VALOR_42/SERV_42,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1,REAL_44,REAL_44/SERV_44,VALOR_44,VALOR_44/SERV_44
01/01/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.5,0.19,116.5,0.19,0.0,0.0,0.0,0.0,263.0,0.11,263.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.9,0.08,102.9,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9,0.06,48.9,0.06,22.5,0.01,22.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.7,0.02,129.7,0.02,0.0,0.0,0.0,0.0
02/01/2013,29.9,0.03,29.9,0.03,19.9,0.02,19.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.14,85.0,0.14,0.0,0.0,0.0,0.0,61.9,0.03,61.9,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.4,0.18,102.4,0.18,0.0,0.0,0.0,0.0,184.0,0.2,184.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.01,62.5,0.01,0.0,0.0,0.0,0.0
03/01/2013,0.0,0.0,0.0,0.0,227.2,0.21,227.2,0.21,19.5,0.03,19.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.16,99.8,0.16,0.0,0.0,0.0,0.0,64.8,0.03,64.8,0.03,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.08,138.9,0.24,138.9,0.24,102.0,0.07,102.0,0.07,29.9,0.03,29.9,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.5,0.04,108.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.08,397.0,0.08,0.0,0.0,0.0,0.0
04/01/2013,29.9,0.03,29.9,0.03,41.9,0.04,41.9,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.5,0.06,129.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,0.03,63.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.05,19.9,0.05,103.9,0.13,103.9,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.01,49.9,0.01,0.0,0.0,0.0,0.0
05/01/2013,45.9,0.05,45.9,0.05,54.8,0.05,54.8,0.05,11.0,0.02,11.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.07,46.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.01,13.5,0.01,0.0,0.0,0.0,0.0,89.0,0.14,89.0,0.16,89.0,0.05,89.0,0.05,32.5,0.04,32.5,0.04,0.0,0.0,0.0,0.0,88.9,0.1,88.9,0.1,27.0,0.01,27.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.01,32.4,0.01,0.0,0.0,0.0,0.0
06/01/2013,0.0,0.0,0.0,0.0,13.5,0.01,13.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.6,0.07,62.6,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,0.03,24.9,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,0.02,64.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,19.5,0.0,0.0,0.0,0.0,0.0
07/01/2013,158.9,0.18,158.9,0.18,124.8,0.11,124.8,0.11,99.0,0.14,99.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.07,22.0,0.07,60.8,0.03,60.8,0.03,0.0,0.0,0.0,0.0,19.9,0.04,19.9,0.04,0.0,0.0,0.0,0.0,29.8,0.02,29.8,0.02,25.9,0.03,25.9,0.03,0.0,0.0,0.0,0.0,11.0,0.01,11.0,0.01,324.9,0.13,324.9,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,0.01,29.8,0.01,0.0,0.0,0.0,0.0
08/01/2013,99.0,0.11,99.0,0.11,90.6,0.08,90.6,0.08,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.01,14.9,0.01,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,62.8,0.03,62.8,0.03,14.9,0.02,14.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.8,0.03,65.8,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,0.01,59.8,0.01,0.0,0.0,0.0,0.0
09/01/2013,0.0,0.0,0.0,0.0,52.3,0.05,52.3,0.05,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,59.6,0.03,59.6,0.03,214.3,0.24,214.3,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.04,110.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6,0.02,79.6,0.02,0.0,0.0,0.0,0.0
10/01/2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,49.8,0.08,49.8,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0.02,29.9,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.5,0.02,124.5,0.02,0.0,0.0,0.0,0.0
