Date,REAL_12,REAL_12/SERV_12,VALOR_12,VALOR_12/SERV_12,REAL_51,REAL_51/SERV_51,VALOR_51,VALOR_51/SERV_51,REAL_57,REAL_57/SERV_57,VALOR_57,VALOR_57/SERV_57,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_45,REAL_45/SERV_45,VALOR_45,VALOR_45/SERV_45,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_58,REAL_58/SERV_58,VALOR_58,VALOR_58/SERV_58,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_60,REAL_60/SERV_60,VALOR_60,VALOR_60/SERV_60,REAL_61,REAL_61/SERV_61,VALOR_61,VALOR_61/SERV_61,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_55,REAL_55/SERV_55,VALOR_55,VALOR_55/SERV_55,REAL_62,REAL_62/SERV_62,VALOR_62,VALOR_62/SERV_62,REAL_64,REAL_64/SERV_64,VALOR_64,VALOR_64/SERV_64,REAL_47,REAL_47/SERV_47,VALOR_47,VALOR_47/SERV_47,REAL_63,REAL_63/SERV_63,VALOR_63,VALOR_63/SERV_63,REAL_65,REAL_65/SERV_65,VALOR_65,VALOR_65/SERV_65,REAL_66,REAL_66/SERV_66,VALOR_66,VALOR_66/SERV_66,REAL_42,REAL_42/SERV_42,VALOR_42,VALOR_42/SERV_42,REAL_49,REAL_49/SERV_49,VALOR_49,VALOR_49/SERV_49,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29
01/01/2023,1761.0,0.55,2101.0,0.63,0.0,0.0,600.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.02,0.0,0.0,11800.0,0.36,0.0,0.0,1500.0,0.05,2475.0,0.02,14885.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.16,0.0,0.0,9500.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,0.72,0.0,0.0,1050.0,0.08,,,,,,,,,0.0,0.0,200.0,0.03,0.0,0.0,500.0,0.09,,,,
02/01/2023,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.16,825.0,0.03,825.0,0.03,1650.0,0.05,5850.0,0.16,0.0,0.0,400.0,0.01,825.0,0.01,5025.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4350.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
03/01/2023,0.0,0.0,0.0,0.0,725.0,0.06,2625.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,1325.0,0.21,725.0,0.03,725.0,0.03,0.0,0.0,0.0,0.0,725.0,0.02,725.0,0.02,5050.0,0.04,10700.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4560.0,0.29,0.0,0.0,400.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.05,0.0,0.0,100.0,0.02,,,,
04/01/2023,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750.0,0.16,3750.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,9700.0,0.24,2175.0,0.02,25525.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10950.0,0.71,0.0,0.0,5800.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.0,0.11,2075.0,0.24,0.0,0.0,1400.0,0.1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.28,0.0,0.0,0.0,0.0,,,,
05/01/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2900.0,0.07,2144.0,0.02,9979.0,0.08,0.0,0.0,2000.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2474.5,0.08,2474.5,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.25,0.0,0.0,500.0,0.09,,,,
06/01/2023,0.0,0.0,0.0,0.0,0.0,0.0,1622.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.0,0.04,1512.0,0.04,4620.0,0.04,8850.0,0.07,0.0,0.0,2300.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0,0.13,0.0,0.0,500.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0,0.26,2750.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
07/01/2023,2964.0,0.65,2964.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.02,5837.0,0.24,5837.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.04,2600.0,0.02,4445.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.01,4550.0,0.15,4550.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.13,,,,
08/01/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.33,3025.0,0.13,3025.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8012.85,0.06,17242.85,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.01,0.0,0.0,0.0,0.0,,,,
09/01/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4425.0,0.04,9995.0,0.08,0.0,0.0,600.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6590.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/01/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4330.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7875.15,0.06,16405.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485.0,0.03,7125.0,0.24,8725.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
