Date,REAL_53,REAL_53/SERV_53,VALOR_53,VALOR_53/SERV_53,REAL_51,REAL_51/SERV_51,VALOR_51,VALOR_51/SERV_51,REAL_54,REAL_54/SERV_54,VALOR_54,VALOR_54/SERV_54,REAL_14,REAL_14/SERV_14,VALOR_14,VALOR_14/SERV_14,REAL_45,REAL_45/SERV_45,VALOR_45,VALOR_45/SERV_45,REAL_38,REAL_38/SERV_38,VALOR_38,VALOR_38/SERV_38,REAL_28,REAL_28/SERV_28,VALOR_28,VALOR_28/SERV_28,REAL_29,REAL_29/SERV_29,VALOR_29,VALOR_29/SERV_29,REAL_30,REAL_30/SERV_30,VALOR_30,VALOR_30/SERV_30,REAL_31,REAL_31/SERV_31,VALOR_31,VALOR_31/SERV_31,REAL_33,REAL_33/SERV_33,VALOR_33,VALOR_33/SERV_33,REAL_8,REAL_8/SERV_8,VALOR_8,VALOR_8/SERV_8,REAL_55,REAL_55/SERV_55,VALOR_55,VALOR_55/SERV_55,REAL_37,REAL_37/SERV_37,VALOR_37,VALOR_37/SERV_37,REAL_47,REAL_47/SERV_47,VALOR_47,VALOR_47/SERV_47,REAL_39,REAL_39/SERV_39,VALOR_39,VALOR_39/SERV_39,REAL_40,REAL_40/SERV_40,VALOR_40,VALOR_40/SERV_40,REAL_42,REAL_42/SERV_42,VALOR_42,VALOR_42/SERV_42,REAL_49,REAL_49/SERV_49,VALOR_49,VALOR_49/SERV_49,REAL_56,REAL_56/SERV_56,VALOR_56,VALOR_56/SERV_56,REAL_1,REAL_1/SERV_1,VALOR_1,VALOR_1/SERV_1
01/01/2020,0.0,0.0,0.0,0.0,675.0,0.13,675.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865.0,0.21,1865.0,0.21,690.0,0.21,690.0,0.21,0.0,0.0,0.0,0.0,2201.0,0.07,2691.0,0.08,0.0,0.0,0.0,0.0,135.0,0.05,135.0,0.05,1279.0,0.19,1279.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/01/2020,0.0,0.0,0.0,0.0,1029.0,0.19,1029.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,0.08,705.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,0.01,482.0,0.01,0.0,0.0,0.0,0.0,110.0,0.04,110.0,0.04,330.0,0.05,330.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.02,298.0,0.02,298.0,0.08,298.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.05,250.0,0.05,0.0,0.0,0.0,0.0,596.0,0.09,596.0,0.09,0.0,0.0,0.0,0.0,99.0,0.11,99.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.18,235.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.03,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
05/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.1,946.0,0.1,672.0,0.06,672.0,0.06,0.0,0.0,0.0,0.0,,,,,690.0,0.02,690.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2370.0,0.36,2370.0,0.36,0.0,0.0,0.0,0.0,,,,,940.0,0.36,940.0,0.36,0.0,0.0,0.0,0.0,,,,,1150.0,0.53,1152.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
06/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.02,234.0,0.02,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,0.15,976.0,0.15,1380.0,0.6,1380.0,0.6,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,0.8,1380.0,0.8,,,,
07/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,0.08,945.0,0.08,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
08/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.04,360.0,0.04,1715.0,0.15,1715.0,0.15,2775.0,0.71,2775.0,0.71,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,0.13,830.0,0.13,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,220.0,0.09,220.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
09/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,0.12,1125.0,0.12,450.0,0.04,450.0,0.04,1850.0,,1850.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,750.0,0.11,750.0,0.11,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,300.0,0.12,300.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
10/01/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.02,45.0,0.02,275.0,0.03,275.0,0.03,584.0,0.05,584.0,0.05,925.0,,925.0,,,,,,790.0,0.02,790.0,0.02,0.0,0.0,0.0,0.0,,,,,700.0,0.11,700.0,0.11,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
